a	A2	plus40
about	A2	plus40
above	A2	plus40
across	A2	plus40
adapter	B1	plus40
advice	A2	plus40
afraid	A2	plus40
afternoon	A2	plus40
again	A2	plus40
ago	A2	plus40
air conditioner	B1	plus40
aloud	A2	plus40
also	A2	plus40
always	A2	plus40
am	A2	plus40
an	A2	plus40
and	A2	plus40
angry	A2	plus40
animal	A2	plus40
another	A2	plus40
answer	A2	plus40
antique	B1	plus40
anyone	A2	plus40
anything	A2	plus40
apartment	A2	plus40
apple	A2	plus40
herring	B1	plus40
archery	B1	plus40
are	A2	plus40
area	A2	plus40
around	A2	plus40
arrive	A2	plus40
art	A2	plus40
ask	A2	plus40
at	A2	plus40
aubergine	A2	plus40
mackerel	B1	plus40
autumn	A2	plus40
avalanche	B1	plus40
avocado	A2	plus40
away	A2	plus40
axe	A2	plus40
baby	A2	plus40
babysit	A2	plus40
bad	A2	plus40
bag	A2	plus40
ball	A2	plus40
banana	A2	plus40
banjo	B1	plus40
bank	A2	plus40
barber	A2	plus40
bath	A2	plus40
batter	A2	plus40
be	A2	plus40
beach	A2	plus40
beautiful	A2	plus40
because	A2	plus40
become	A2	plus40
bed	A2	plus40
beer	A2	plus40
beetroot	A2	plus40
begin	A2	plus40
beginner	B1	plus40
behind	A2	plus40
believe	A2	plus40
below	A2	plus40
big	A2	plus40
bike	A2	plus40
bikini	A2	plus40
bird	A2	plus40
birthday	A2	plus40
black	A2	plus40
blackboard	A2	plus40
blazer	A2	plus40
blue	A2	plus40
boat	A2	plus40
body	A2	plus40
bored	A2	plus40
boring	A2	plus40
born	A2	plus40
both	A2	plus40
bottle opener	A2	plus40
box	A2	plus40
boxer	B1	plus40
boy	A2	plus40
bread	A2	plus40
break	A2	plus40
bring	A2	plus40
brother	A2	plus40
brown	A2	plus40
build	A2	plus40
building	A2	plus40
bus	A2	plus40
business	A2	plus40
busy	A2	plus40
buy	A2	plus40
cake	A2	plus40
call	A2	plus40
came	A2	plus40
camera	A2	plus40
candy	A2	plus41
cannot	A2	plus41
capital	A2	plus41
car	A2	plus41
card	A2	plus41
cardboard	A2	plus41
carnival	B1	plus41
carry	A2	plus41
cat	A2	plus41
cd	A2	plus41
ceiling fan	B1	plus41
cent	A2	plus41
center	A2	plus41
chalk	A2	plus41
child	A2	plus41
chimpanzee	B1	plus41
chocolate	A2	plus41
choose	A2	plus41
cinema	A2	plus41
city	A2	plus41
clap	A2	plus41
class	A2	plus41
clean	A2	plus41
cleaner	A2	plus41
clipboard	B1	plus41
clothes	A2	plus41
clothesline	B1	plus41
club	A2	plus41
coat	A2	plus41
coffee	A2	plus41
coffee maker	B1	plus41
cold	A2	plus41
college	A2	plus41
color	A2	plus41
colour	A2	plus41
come	A2	plus41
come in	A2	plus41
coming	A2	plus41
commuting	A2	plus41
company	A2	plus41
complete	A2	plus41
computer	A2	plus41
concert	A2	plus41
conversation	B1	plus41
cooler	A2	plus41
correct	A2	plus41
cost	A2	plus41
cot	A2	plus41
could	A2	plus41
country	A2	plus41
courgette	A2	plus41
courier	B1	plus41
cow	A2	plus41
crosswalk	A2	plus41
cup	A2	plus41
customer	A2	plus41
cyclist	A2	plus41
dad	A2	plus41
dance	A2	plus41
dandelion	A2	plus41
daughter	A2	plus41
day	A2	plus41
sardine	B1	plus41
decide	A2	plus41
dentistry	B1	plus41
deodorant	B1	plus41
desk	A2	plus41
dictionary	A2	plus41
die	A2	plus41
difference	A2	plus41
different	A2	plus41
difficult	A2	plus41
dinosaur	A2	plus41
dirty	A2	plus41
diving	A2	plus41
do	A2	plus41
does	A2	plus41
dog	A2	plus41
doing	A2	plus41
dollar	A2	plus41
done	A2	plus41
door	A2	plus41
down	A2	plus41
downhill	A2	plus41
dress	A2	plus41
drills	A2	plus41
drink	A2	plus41
driver	A2	plus41
drop by	A2	plus41
dryer	B1	plus41
dummy	A2	plus41
during	A2	plus41
dusty	A2	plus41
each	A2	plus41
ear	A2	plus41
early	A2	plus41
