abolish	(制度・法律を)廃止する	The country abolished the death penalty more than twenty years ago.	その国は20年以上前に死刑を廃止した。	abolish slavery|abolish a law|abolish a tax	ab-(離れて)+ ol(育つ。adolescent と同語根)。育ってきた制度を根こそぎ取り去る。物ではなく法律・制度・慣習に使う。
abortion	妊娠中絶、(計画の)中止	The clinic offers counselling to women considering an abortion.	その診療所は中絶を考えている女性に相談を提供している。	have an abortion|abortion law	ab-(離れて)+ ort(生まれる。origin と同語根)。生まれる前に離れてしまうこと。計画が途中で流れる意味にも広がる。
absence	不在、欠席、欠如	Her long absence from the office worried her colleagues.	彼女が長く職場を離れていたことは同僚を心配させた。	in the absence of|absence from work|a long absence	ab-(離れて)+ ess(ある。essence と同語根)。「その場にあることから離れている」。人の欠席にも、物のないことにも使う。
absent	欠席の、不在の、上の空の	Three students were absent from class because of the flu.	インフルエンザで3人の生徒が授業を欠席した。	be absent from|absent without leave	absence の形容詞。be absent from の from が「その場から離れている」という語源そのままの形。
absurd	ばかげた、不合理な	It seems absurd to spend that much money on a single meal.	一食にそれほどの金額を使うのはばかげているように思える。	absurd idea|utterly absurd|sound absurd	ラテン語 absurdus(耳障りな)。音がひどくずれている感じから、理屈がずれていて聞くに堪えない、へと広がった。
abundance	豊富さ、大量	The region is known for an abundance of fresh seafood.	その地域は新鮮な魚介類が豊富なことで知られている。	an abundance of|in abundance	ab-(あふれ出る)+ und(波。wave と同じイメージ)。波のようにあふれてくる量。in abundance で「ありあまるほど」。
abuse	乱用、虐待、乱用する	Managers who abuse their power should be held responsible.	権力を乱用する管理職は責任を問われるべきだ。	abuse of power|child abuse|drug abuse	ab-(外れて)+ use(使う)。本来の使い方から外れた使い方が核。物なら乱用、人に向かえば虐待。
academy	学院、専門学校、学術団体	He trained at a national academy for young musicians.	彼は若い音楽家のための国立学院で訓練を受けた。	military academy|the Academy Awards	academic と同じくプラトンの学園アカデメイアが語源。専門を深く教える場、または権威ある学術団体を指す。
accelerate	加速する、早める	Online shopping accelerated after the new delivery service started.	新しい配送サービスが始まってからネット通販が加速した。	accelerate growth|accelerate a process	ac-(〜へ)+ celer(速い。celerity)。アクセルと同じ語。速度だけでなく、変化や成長の進み方にも使う。
acceptance	受け入れ、受諾、承認	Her acceptance of the offer surprised everyone on the team.	彼女がその申し出を受けたことはチーム全員を驚かせた。	acceptance of|widespread acceptance|acceptance speech	accept(受け取る)の名詞。差し出されたものを手に取る動作が、そのまま「認めること」を表す。
accessible	近づきやすい、利用しやすい、分かりやすい	The museum is fully accessible to visitors in wheelchairs.	その美術館は車いすの来館者が完全に利用できるようになっている。	easily accessible|accessible to|make accessible	access(そこへ行ける)+ -ible(できる)。物理的に行けるかだけでなく、内容が難しくないという意味にも使う。
accomplishment	達成、業績、成し遂げたこと	Finishing the marathon was the greatest accomplishment of her life.	マラソンを完走したことは彼女の人生で最大の達成だった。	a great accomplishment|sense of accomplishment	accomplish(最後まで満たしきる)の名詞。途中ではなく最後まで届いた結果を指すので、誇れる成果の響きがある。
accordance	一致、合致	All the work was carried out in accordance with safety rules.	すべての作業は安全規則に従って行われた。	in accordance with	accord(心 cord が合う)の名詞。ほぼ in accordance with の形だけで使い、「〜と合った形で」つまり「〜に従って」。
accordingly	それに応じて、したがって	Costs have risen, and we have adjusted our prices accordingly.	費用が上がったので、それに応じて価格を調整した。	act accordingly|adjust accordingly	according(合わせて)の副詞。前に言ったことに「合わせて」動く、が核。文頭に置けば「したがって」。
accountability	説明責任	Voters are demanding greater accountability from local officials.	有権者は地方公務員により大きな説明責任を求めている。	public accountability|demand accountability	account(数え上げて説明する)+ -ability。求められたら数え上げて示せる状態のこと。
accountable	説明責任がある、責任を負う	Managers are accountable to shareholders for how they spend money.	経営陣は資金の使い方について株主に説明する責任がある。	hold someone accountable|accountable for|accountable to	account(説明する)+ -able。「聞かれたら説明できる立場にある」。for が説明する中身、to が説明する相手。
accumulate	蓄積する、たまる、ためこむ	Dust had accumulated on the shelves during the long holiday.	長い休暇の間に棚にほこりがたまっていた。	accumulate wealth|accumulate evidence|accumulate over time	ac-(〜へ)+ cumul(積み重ね。cumulus 積乱雲)。少しずつ山になっていくのが核で、努力せず自然にたまる場合にも使う。
accumulation	蓄積、堆積	The accumulation of small errors caused the system to fail.	小さな誤りの蓄積がシステムの故障を引き起こした。	accumulation of wealth|snow accumulation	accumulate の名詞。積み重なった山そのもの、または積み重なる過程を指す。
accusation	非難、告発、申し立て	He strongly denied the accusation that he had copied the report.	彼は報告書を写したという非難を強く否定した。	make an accusation|face accusations|a false accusation	accuse(原因はお前だと突きつける)の名詞。証明されたものではなく、あくまで向けられた言い分である点が要点。
accused	被告人	The accused pleaded not guilty at the start of the trial.	被告人は裁判の冒頭で無罪を主張した。	the accused|represent the accused	accuse の過去分詞が the を伴って名詞になった形。「告発された人」がそのまま法廷の被告人を指す。
acquisition	獲得、習得、買収	The acquisition of a second language takes years of steady practice.	第二言語の習得には何年もの地道な練習が必要だ。	language acquisition|the acquisition of|a major acquisition	acquire(自分のものにする)の名詞。ac-(〜へ)+ quir(求める。inquire)。企業が会社を手に入れれば買収、能力なら習得。
acre	エーカー	The family farm covers about two hundred acres of land.	その家族の農場は約200エーカーの土地を占めている。	a hundred acres|acres of land	もとは「耕された野」を指す古い語で、agriculture の agr- と同語源。約4,047平方メートル、サッカー場より少し小さい広さ。
activation	起動、活性化、有効化	Activation of the alarm system requires a four-digit code.	警報システムの起動には4桁の暗証番号が必要だ。	activation code|activation of	activate(動く状態にする)の名詞。眠っていたものにスイッチを入れて働かせること。
activist	活動家	Environmental activists gathered outside the government building.	環境活動家たちが政府庁舎の外に集まった。	human rights activist|political activist	active(活動的な)+ -ist(人)。主義主張のために実際に動く人を指し、単に元気な人には使わない。
acute	深刻な、鋭い、急性の	The city faces an acute shortage of affordable housing.	その都市は手頃な価格の住宅の深刻な不足に直面している。	acute pain|acute shortage|acute angle	ラテン語 acutus(とがった)。針が刺さるような鋭さが核。痛みや不足なら差し迫って深刻、病気なら急性。
adaptation	適応、順応、翻案	The film is an adaptation of a novel published in the 1950s.	その映画は1950年代に出版された小説の翻案だ。	film adaptation|adaptation to|climate adaptation	adapt(合わせる)の名詞。ad-(〜へ)+ apt(適した)。環境に自分を合わせれば適応、別の形式に作品を合わせれば翻案。
adhere	付着する、順守する	All staff must adhere to the safety guidelines at all times.	全職員は常に安全基準を順守しなければならない。	adhere to rules|adhere to a surface	ad-(〜へ)+ here(くっつく。cohere)。接着剤の adhesive と同じ語根。物がくっつく用法から、規則にぴったり従う意味へ。
adjacent	隣接した、すぐ隣の	Our office is adjacent to the station, so commuting is easy.	私たちのオフィスは駅に隣接しているので通勤が楽だ。	adjacent to|adjacent building|adjacent rooms	ad-(〜へ)+ jac(横たわる。project の ject と同語根)。すぐ横に寝そべっている位置関係。next to より硬い語。
adjustment	調整、修正、順応	A few small adjustments to the schedule solved the problem.	予定へのわずかな調整が問題を解決した。	make an adjustment|minor adjustment|adjustment to	adjust(ちょうどよく合わせる)の名詞。大きく作り直すのではなく、少し動かして合わせる含み。
administer	管理する、運営する、投与する	An independent body administers the national examination each year.	独立した機関が毎年その全国試験を運営している。	administer a test|administer a drug|administer a fund	ad-(〜へ)+ minister(仕える)。人のために取り仕切るのが核。制度を運営する、薬を人に与える、どちらも同じ発想。
administrative	管理の、行政の、事務の	Most of her day is taken up by administrative tasks.	彼女の一日の大半は事務作業に占められている。	administrative work|administrative costs|administrative staff	administer の形容詞。実務そのものではなく、それを回すための手続き・事務を指すことが多い。
administrator	管理者、運営者	The system administrator restored the files within an hour.	システム管理者は1時間以内にファイルを復元した。	system administrator|hospital administrator	administer + -or(人)。組織や仕組みを取り仕切る立場の人。日本語の「アドミン」はこの語の略。
admission	入場、入学、認めること、入院	Admission to the gallery is free on the first Sunday of the month.	そのギャラリーへの入場は毎月第1日曜日は無料だ。	admission fee|admission to|an admission of guilt	admit(中に入れる)の名詞。ad-(〜へ)+ miss(送る)。人を中へ通せば入場・入学、事実を自分の中へ通せば「認めること」。
adolescent	思春期の若者、青年	Many adolescents struggle to get enough sleep on school nights.	多くの思春期の若者は学校のある夜に十分な睡眠をとるのに苦労している。	adolescent behaviour|a troubled adolescent	ラテン語 adolescere(育つ)。abolish の ol と同語根で「成長の途中」。子どもと大人のあいだの時期を指す。
adoption	採用、導入、養子縁組	The adoption of the new software improved response times.	新しいソフトの導入によって応答時間が改善した。	the adoption of|adoption rate|put up for adoption	adopt(自分のものとして選び取る)の名詞。制度や方法を選び取れば採用、子どもを迎え入れれば養子縁組。
adverse	不利な、好ましくない	The trial was stopped because of adverse effects on patients.	患者への悪影響のため、その治験は中止された。	adverse effect|adverse conditions|adverse weather	ad-(〜へ)+ vers(向く。reverse)。こちらへ向かって逆らってくる向き。追い風ではなく向かい風のイメージ。
advocate	擁護者、支持する、主張する	She has long advocated stronger protection for temporary workers.	彼女は長らく非正規労働者のより強い保護を主張してきた。	advocate for|a strong advocate of	ad-(〜へ)+ voc(声。voice, vocal)。誰かのために声を上げる人、あるいは声を上げる行為。
aesthetic	美的な、美学の	The renovation was driven by aesthetic rather than practical concerns.	その改修は実用性よりも美的な関心から進められた。	aesthetic appeal|aesthetic value|aesthetic sense	ギリシャ語 aisthetikos(感覚で知る)。理屈ではなく感覚が受け取る美しさ。日本語の「エステ」も同語源。
affection	愛情、親愛の情	He spoke about his old teacher with obvious affection.	彼は明らかな愛情を込めて昔の恩師について語った。	show affection|deep affection|affection for	af-(〜へ)+ fect(作用する。affect)。心が誰かに向かって働いている状態。恋愛に限らず、家族やペットへの情にも使う。
aftermath	余波、直後の状況	In the aftermath of the storm, thousands were left without power.	嵐の直後、何千人もが停電したままになった。	in the aftermath of|the aftermath of war	after(後)+ math(古語で刈り取り)。刈った後に残る二番草が原義で、出来事が去った後に残る状況を指す。
aggression	攻撃性、侵略	The dog showed no aggression toward the children.	その犬は子どもたちに対して何の攻撃性も見せなかった。	an act of aggression|verbal aggression	ag-(〜へ)+ gress(進む。progress, congress)。相手に向かってずかずか進み出ること。国家なら侵略、人なら攻撃性。
agricultural	農業の	Agricultural land in the valley has shrunk over the last decade.	その谷の農地はこの10年で減少した。	agricultural land|agricultural production	agri(畑。acre と同語源)+ culture(耕す)。cultureの原義が「耕す」ことだと分かる語。
aide	側近、補佐官	A senior aide to the president resigned without explanation.	大統領の上級補佐官が説明もなく辞任した。	a senior aide|a presidential aide	aid(助ける)から来たフランス語風の形。組織の長のそばで実務を助ける人を指す。
albeit	〜ではあるが	The plan worked, albeit more slowly than we had hoped.	その計画はうまくいったが、期待していたより遅かった。	albeit briefly|albeit slowly	although it be(たとえ〜であっても)が縮まった語。書き言葉専用で、直後は文ではなく語句が来ることが多い。
alert	警戒した、警報、警告する	Staff were alert to the risk of fire during the dry season.	乾季の間、職員は火災の危険に警戒していた。	stay alert|on high alert|alert someone to	イタリア語 all erta(見張り台の上へ)。高い所で見張っている状態が核。名詞なら警報、動詞なら危険を知らせること。
align	一直線に並べる、足並みをそろえる	We need to align our goals with the company strategy.	私たちは目標を会社の戦略に合わせる必要がある。	align with|closely aligned	a-(〜へ)+ line(線)。同じ線の上に乗せるのが核。物の位置にも、方針や利害の一致にも使う。
alignment	整列、連携、位置合わせ	The wheels are out of alignment, which makes the car pull left.	車輪の位置がずれていて、車が左に寄ってしまう。	in alignment with|out of alignment	align の名詞。同じ線に乗っているかどうかを指し、out of alignment で「ずれている」。
alike	似ている、同様に	The two brothers look alike but behave very differently.	その兄弟は見た目は似ているが振る舞いはまるで違う。	look alike|treat everyone alike	a-(〜の状態で)+ like(似た)。名詞の前には置けず、be動詞の後ろか副詞として使うのが特徴。
allegation	申し立て、疑惑	The company denied all allegations of unfair hiring practices.	その会社は不公正な採用に関するすべての疑惑を否定した。	deny an allegation|serious allegations	allege の名詞。まだ証明されていない主張である点が accusation よりさらに強く、報道でよく使われる。
allege	(証拠なしに)主張する、申し立てる	Residents allege that the factory has been dumping waste at night.	住民は、その工場が夜間に廃棄物を捨てていると主張している。	allege that|the alleged victim	ラテン語 allegare(持ち出す)。法廷に証拠なしで言い分を持ち出すこと。書き手が真偽を保証しない合図になる。
allegedly	伝えられるところでは、〜とされる	The two companies allegedly agreed to fix prices for years.	両社は何年も価格を操作することに合意していたとされる。	allegedly involved|allegedly stole	allege の副詞。報道で「まだ確認されていない」と断りを入れるための語で、書き手の断定を避ける。
alliance	同盟、提携	The two airlines formed an alliance to share routes.	その2社の航空会社は路線を共有するために提携を結んだ。	form an alliance|a strategic alliance	ally の名詞。ラテン語 ligare(結ぶ)から来ており、league や ligament と同語根。結び合った関係。
allocate	割り当てる、配分する	The city allocated extra funds to repair the old bridges.	市は古い橋の修復に追加の資金を割り当てた。	allocate resources|allocate funds|allocate time	ad-(〜へ)+ loc(場所。location)。「置き場所を決めてやる」が核で、資源や時間を用途ごとに振り分けること。
allocation	割り当て、配分	The allocation of seats was decided by a public lottery.	座席の割り当ては公開抽選で決められた。	budget allocation|the allocation of resources	allocate の名詞。誰に何をどれだけ置くか、その決め方や決まった量を指す。
allowance	手当、小遣い、許容量	Employees receive a monthly travel allowance for commuting costs.	従業員は通勤費として月々の交通手当を受け取る。	a travel allowance|make allowances for	allow(許す)の名詞。あらかじめ「これだけは使ってよい」と許された枠のこと。make allowances for なら事情を差し引いて考える。
ally	同盟国、味方	The country has been a close ally of its neighbour for decades.	その国は何十年も隣国の緊密な同盟国であり続けている。	a close ally|political allies	ラテン語 ligare(結ぶ)。alliance と同根で、結びついて味方になっている相手。動詞なら ally with。
aluminium	アルミニウム	Aluminium is light enough to be used in aircraft frames.	アルミニウムは航空機の骨組みに使えるほど軽い。	aluminium foil|aluminium can	明礬(みょうばん)を指すラテン語 alumen から。米つづりは aluminum で、発音も強勢の位置も変わる点に注意。
amateur	素人の、アマチュア	The tournament is open to both amateur and professional players.	その大会はアマチュアとプロの両方の選手に開かれている。	an amateur photographer|amateur sports	ラテン語 amare(愛する)から。報酬ではなく「好きだから」やる人。技量が低いという含みは後から付いたもの。
ambassador	大使、代表	She served as ambassador to France for three years.	彼女は3年間フランス大使を務めた。	an ambassador to|a goodwill ambassador	「使いに出された者」を意味する古い語から。国を代表して相手国に常駐する人。比喩で活動の顔役にも使う。
amend	修正する、改める	Parliament voted to amend the law on data protection.	議会はデータ保護に関する法律を修正することを可決した。	amend a law|amend a contract	ラテン語 emendare(欠点 menda を取り除く)。全部作り直すのではなく、悪いところを直す。法律や文書に使う硬い語。
amendment	修正、改正	The proposed amendment was rejected by a narrow margin.	提案された修正案はわずかの差で否決された。	a constitutional amendment|propose an amendment	amend の名詞。修正する行為にも、修正案という文書そのものにも使う。
amid	〜の最中に、〜に囲まれて	Shares fell sharply amid fears of a global slowdown.	世界的な景気減速への不安の中で株価は急落した。	amid concerns|amid growing tension	a-(〜に)+ mid(真ん中)。ざわつく状況の真っただ中にいる、が核。ニュース英語で「〜する中で」を表す定番。
analogy	類推、たとえ	He explained the network using an analogy with a city road system.	彼は都市の道路網とのたとえを使ってそのネットワークを説明した。	draw an analogy|by analogy with	ana-(〜に応じて)+ logy(比)。二つのものの間に同じ比を見つけること。似た構造を借りて説明するのが本質。
anchor	いかり、よりどころ、固定する	The old lighthouse serves as an anchor for the whole harbour view.	その古い灯台は港の景色全体のよりどころになっている。	drop anchor|an anchor for	ギリシャ語 ankura(曲がったもの)。船を動かなくする重り。動かないよりどころ、報道番組の司会にも広がる。
angel	天使	The child sang so beautifully that people called her an angel.	その子はあまりに美しく歌ったので、人々は彼女を天使と呼んだ。	a guardian angel|like an angel	ギリシャ語 angelos(使者)。もとは「知らせを運ぶ者」で、宗教画の翼は後の姿。優しい人のたとえにも使う。
