back up	B1	句動詞
blow up	B1	句動詞
break into	B2	句動詞
break out	B2	句動詞
break up	B1	句動詞
bring about	B2	句動詞
bring up	B1	句動詞
build up	B1	句動詞
call back	A2	句動詞
call for	B2	句動詞
call off	B1	句動詞
calm down	B1	句動詞
carry on	B1	句動詞
carry out	B2	句動詞
catch up	B1	句動詞
check in	A2	句動詞
check out	A2	句動詞
cheer up	B1	句動詞
clean up	A2	句動詞
come along	B2	句動詞
come back	A2	句動詞
come out	A2	句動詞
come up	B1	句動詞
come up with	B1	句動詞
count on	B2	句動詞
cut off	B1	句動詞
cut out	B1	句動詞
do without	B2	句動詞
drop off	B1	句動詞
drop out	B2	句動詞
eat out	A2	句動詞
fall apart	B2	句動詞
fall behind	B2	句動詞
fill in	B1	句動詞
fill out	B1	句動詞
get across	B2	句動詞
get along	B1	句動詞
get around	B2	句動詞
get away	B1	句動詞
get back	A2	句動詞
get by	B2	句動詞
get into	B1	句動詞
get off	A2	句動詞
get on	A2	句動詞
get out	A2	句動詞
get through	B2	句動詞
get together	B1	句動詞
get up	A2	句動詞
give away	B1	句動詞
give back	A2	句動詞
give in	B2	句動詞
give off	B2	句動詞
give out	B1	句動詞
go ahead	B1	句動詞
go back	A2	句動詞
go down	A2	句動詞
go off	B1	句動詞
go on	A2	句動詞
go out	A2	句動詞
go over	B1	句動詞
go through	B1	句動詞
go up	A2	句動詞
grow up	A2	句動詞
hand in	B1	句動詞
hand out	B1	句動詞
hand over	B2	句動詞
hang on	B1	句動詞
hang out	B1	句動詞
hang up	A2	句動詞
hold back	B2	句動詞
hold on	B1	句動詞
hold up	B2	句動詞
keep on	B1	句動詞
keep up	B1	句動詞
knock down	B1	句動詞
lay off	B2	句動詞
leave out	B1	句動詞
let down	B2	句動詞
live up to	B2	句動詞
look back	B1	句動詞
look down on	B2	句動詞
look into	B2	句動詞
look out	A2	句動詞
look through	B1	句動詞
look up	A2	句動詞
look up to	B2	句動詞
make out	B2	句動詞
make up	B1	句動詞
make up for	B2	句動詞
move in	B1	句動詞
move on	B1	句動詞
move out	B1	句動詞
pass away	B2	句動詞
pass on	B1	句動詞
pay back	B1	句動詞
pay off	B2	句動詞
pick out	B1	句動詞
pull out	B2	句動詞
pull over	B2	句動詞
put away	A2	句動詞
put back	A2	句動詞
put down	B1	句動詞
put on	A2	句動詞
put out	B1	句動詞
put together	B1	句動詞
put up	B1	句動詞
rule out	B2	句動詞
run into	B1	句動詞
run over	B2	句動詞
sell out	B1	句動詞
set aside	B2	句動詞
set off	B1	句動詞
set out	B2	句動詞
settle down	B2	句動詞
shut down	B1	句動詞
slow down	A2	句動詞
speak up	B2	句動詞
stand by	B2	句動詞
stand for	B2	句動詞
stand out	B1	句動詞
stay up	A2	句動詞
stick to	B1	句動詞
take after	B2	句動詞
take back	B1	句動詞
take down	B1	句動詞
take in	B2	句動詞
take on	B2	句動詞
take out	A2	句動詞
take up	B1	句動詞
throw away	A2	句動詞
try on	A2	句動詞
try out	B1	句動詞
turn around	B1	句動詞
turn down	B1	句動詞
turn into	B1	句動詞
turn off	A2	句動詞
turn on	A2	句動詞
turn out	B2	句動詞
turn up	B1	句動詞
use up	B2	句動詞
wake up	A2	句動詞
warm up	B1	句動詞
wear out	B2	句動詞
work out	B1	句動詞
write down	A2	句動詞
in terms of	B2	前置詞
on behalf of	B2	前置詞
in spite of	B1	前置詞
due to	B1	前置詞
apart from	B1	前置詞
regardless of	B2	前置詞
in addition to	B1	前置詞
rather than	B1	接続詞
as well as	A2	接続詞
in charge of	B1	前置詞
in advance	B1	副詞
on purpose	B1	副詞
at least	A2	副詞
at last	A2	副詞
no longer	B1	副詞
as far as	B1	接続詞
as long as	B1	接続詞
in general	B1	副詞
in particular	B1	副詞
in fact	A2	副詞
for instance	B1	副詞
on the whole	B2	副詞
in the meantime	B2	副詞
by no means	B2	副詞
as a result	B1	副詞
in return	B1	副詞
on average	B1	副詞
at random	B2	副詞
in common	B1	副詞
out of date	B1	形容詞
up to date	B1	形容詞
allergic	B2	形容詞
bilingual	B2	形容詞
clumsy	B2	形容詞
commute	B2	動詞・名詞
compliment	B2	名詞・動詞
considerate	B2	形容詞
courageous	B2	形容詞
discomfort	B2	名詞
dizzy	B2	形容詞
downside	B2	名詞
drawback	B2	名詞
endurance	B2	名詞
eyesight	B2	名詞
faithful	B2	形容詞
feasible	B2	形容詞
forgetful	B2	形容詞
generosity	B2	名詞
gratitude	B2	名詞
greeting	B1	名詞
hardship	B2	名詞
hesitation	B2	名詞
homesick	B1	形容詞
imaginative	B2	形容詞
immature	B2	形容詞
inconvenience	B2	名詞・動詞
indifferent	B2	形容詞
informative	B2	形容詞
jealousy	B2	名詞
laziness	B1	名詞
leftover	B1	名詞・形容詞
loneliness	B2	名詞
misunderstanding	B1	名詞
nervousness	B1	名詞
nostalgia	B2	名詞
obedient	B2	形容詞
outgoing	B2	形容詞
overtime	B1	名詞・副詞
paperwork	B2	名詞
persuasive	B2	形容詞
pessimistic	B2	形容詞
politeness	B1	名詞
punctual	B2	形容詞
refund	B1	名詞・動詞
reluctance	B2	名詞
resemblance	B2	名詞
resentment	B2	名詞
reunion	B2	名詞
scenery	B1	名詞
self-esteem	B2	名詞
sincerity	B2	名詞
sociable	B2	形容詞
stubborn	B2	形容詞
superiority	B2	名詞
trustworthy	B2	形容詞
warmth	B2	名詞
workload	B2	名詞
dependable	B2	形容詞
